	ta	tb	xa_lon	xa_lat	xb_lon	xb_lat	n	distance	duration	table_name	xa	xb	ia	ib	twa	twb	iv	iv_ta	iv_tb
4326	2016-05-01 18:28:15	2016-05-01 18:35:55	-73.98432159423827	40.76007461547852	-73.99114990234375	40.75028610229492	1	1287.472	460.00000000000006	yellow_tripdata_2016-05	(40.76007461547852, -73.98432159423827)	(40.75028610229492, -73.99114990234375)	9508	4461990857	(Timestamp('2016-05-01 18:26:15'), Timestamp('2016-05-01 18:33:15'))	(Timestamp('2016-05-01 18:26:15'), Timestamp('2016-05-01 18:45:55'))	0.0	2016-05-01 18:28:22.117587	2016-05-01 18:31:54
443	2016-05-01 18:28:30	2016-05-01 18:31:19	-73.97490692138672	40.75674819946289	-73.97728729248048	40.75947952270508	1	482.80199999999996	169.0	yellow_tripdata_2016-05	(40.75674819946289, -73.97490692138672)	(40.75947952270508, -73.97728729248048)	20635	21054	(Timestamp('2016-05-01 18:26:30'), Timestamp('2016-05-01 18:33:30'))	(Timestamp('2016-05-01 18:26:30'), Timestamp('2016-05-01 18:41:19'))	68.0	2016-05-01 18:26:29.127836	2016-05-01 18:30:04
9240	2016-05-01 18:28:35	2016-05-01 18:34:00	-73.98994445800781	40.7570915222168	-73.98448944091797	40.75943374633789	1	804.67	325.0	yellow_tripdata_2016-05	(40.7570915222168, -73.98994445800781)	(40.75943374633789, -73.98448944091797)	6751	9499	(Timestamp('2016-05-01 18:26:35'), Timestamp('2016-05-01 18:33:35'))	(Timestamp('2016-05-01 18:26:35'), Timestamp('2016-05-01 18:44:00'))	58.0	2016-05-01 18:33:06.596894	2016-05-01 18:35:16
4948	2016-05-01 18:28:43	2016-05-01 18:34:40	-73.98253631591797	40.76438903808594	-73.99410247802734	40.76310729980469	1	1287.472	357.0	yellow_tripdata_2016-05	(40.76438903808594, -73.98253631591797)	(40.76310729980469, -73.99410247802734)	25270	593921845	(Timestamp('2016-05-01 18:26:43'), Timestamp('2016-05-01 18:33:43'))	(Timestamp('2016-05-01 18:26:43'), Timestamp('2016-05-01 18:44:40'))	54.0	2016-05-01 18:27:13.205428	2016-05-01 18:31:25
9615	2016-05-01 18:28:53	2016-05-01 18:33:23	-73.97979736328125	40.760448455810554	-73.9900894165039	40.75773620605469	1	1126.5379999999998	270.0	yellow_tripdata_2016-05	(40.760448455810554, -73.97979736328125)	(40.75773620605469, -73.9900894165039)	3579	7095733939	(Timestamp('2016-05-01 18:26:53'), Timestamp('2016-05-01 18:33:53'))	(Timestamp('2016-05-01 18:26:53'), Timestamp('2016-05-01 18:43:23'))	68.0	2016-05-01 18:30:47	2016-05-01 18:34:03
5617	2016-05-01 18:29:08	2016-05-01 18:33:39	-73.9850082397461	40.75781631469727	-73.9836196899414	40.76256561279297	1	965.6039999999999	271.0	yellow_tripdata_2016-05	(40.75781631469727, -73.9850082397461)	(40.76256561279297, -73.9836196899414)	35123	27268	(Timestamp('2016-05-01 18:27:08'), Timestamp('2016-05-01 18:34:08'))	(Timestamp('2016-05-01 18:27:08'), Timestamp('2016-05-01 18:43:39'))	53.0	2016-05-01 18:27:07.134486	2016-05-01 18:29:28
6550	2016-05-01 18:29:31	2016-05-01 18:41:36	-73.98985290527344	40.76062774658203	-73.98990631103516	40.75146484375	1	2526.6638	725.0	yellow_tripdata_2016-05	(40.76062774658203, -73.98985290527344)	(40.75146484375, -73.98990631103516)	23135	9429	(Timestamp('2016-05-01 18:27:31'), Timestamp('2016-05-01 18:34:31'))	(Timestamp('2016-05-01 18:27:31'), Timestamp('2016-05-01 18:51:36'))	57.0	2016-05-01 18:28:58.152776	2016-05-01 18:35:05
6738	2016-05-01 18:29:35	2016-05-01 18:33:34	-73.98215484619139	40.76287841796875	-73.98491668701173	40.75770568847656	1	482.80199999999996	239.00000000000003	yellow_tripdata_2016-05	(40.76287841796875, -73.98215484619139)	(40.75770568847656, -73.98491668701173)	27277	35123	(Timestamp('2016-05-01 18:27:35'), Timestamp('2016-05-01 18:34:35'))	(Timestamp('2016-05-01 18:27:35'), Timestamp('2016-05-01 18:43:34'))	77.0	2016-05-01 18:33:12.127775	2016-05-01 18:40:26
4738	2016-05-01 18:29:37	2016-05-01 18:37:01	-73.97798156738281	40.7619514465332	-73.9886474609375	40.7627067565918	1	1689.807	444.0	yellow_tripdata_2016-05	(40.7619514465332, -73.97798156738281)	(40.7627067565918, -73.9886474609375)	27250	23747	(Timestamp('2016-05-01 18:27:37'), Timestamp('2016-05-01 18:34:37'))	(Timestamp('2016-05-01 18:27:37'), Timestamp('2016-05-01 18:47:01'))	67.0	2016-05-01 18:27:36.532300	2016-05-01 18:28:53
3976	2016-05-01 18:29:52	2016-05-01 18:32:17	-73.9781723022461	40.752605438232415	-73.9832763671875	40.75606536865234	1	643.736	145.0	yellow_tripdata_2016-05	(40.752605438232415, -73.9781723022461)	(40.75606536865234, -73.9832763671875)	25755	3523	(Timestamp('2016-05-01 18:27:52'), Timestamp('2016-05-01 18:34:52'))	(Timestamp('2016-05-01 18:27:52'), Timestamp('2016-05-01 18:42:17'))	63.0	2016-05-01 18:27:51.295942	2016-05-01 18:31:21
